[1/5] Simulating event (seed=0)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization)...
Searching incoherent solution for GW0
Set intrinsic parameters, lnL = 207.4750145548004
Set time, lnL(H) = 118.07731869931102
Set sky location, lnL = 194.35292957472166
Set phase and distance, lnL = 194.35292957472166
Set mchirp_range = (np.float64(19.789622701763705), np.float64(117.35646182836352))
      reference-waveform fit SNR estimate: 18.67 (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 1      | 0        | 0        | 0        | 1.0000 | 0     | N/A      
Computing | 1      | 0        | 0        | 0        | 1.0000 | 0     | N/A      
Sampling  | 1      | 0        | 0        | 100      | 1.0000 | 1     | +60.32   
Computing | 1      | 0        | 0        | 100      | 1.0000 | 1     | +60.32   
Sampling  | 1      | 0        | 0        | 200      | 1.0000 | 1     | +59.71   
Computing | 1      | 0        | 0        | 200      | 1.0000 | 1     | +59.71   
Sampling  | 1      | 0        | 0        | 300      | 1.0000 | 2     | +66.51   
Computing | 1      | 0        | 0        | 300      | 1.0000 | 2     | +66.51   
Sampling  | 1      | 0        | 0        | 400      | 1.0000 | 1     | +83.46   
Computing | 1      | 0        | 0        | 400      | 1.0000 | 1     | +83.46   
Sampling  | 1      | 0        | 0        | 500      | 1.0000 | 1     | +83.25   
Computing | 1      | 0        | 0        | 500      | 1.0000 | 1     | +83.25   
Sampling  | 1      | 0        | 0        | 600      | 1.0000 | 1     | +83.07   
Computing | 1      | 0        | 0        | 600      | 1.0000 | 1     | +83.07   
Sampling  | 1      | 0        | 0        | 700      | 1.0000 | 1     | +82.91   
Computing | 1      | 0        | 0        | 700      | 1.0000 | 1     | +82.91   
Sampling  | 1      | 0        | 0        | 800      | 1.0000 | 1     | +82.79   
Computing | 1      | 0        | 0        | 800      | 1.0000 | 1     | +82.79   
Sampling  | 1      | 0        | 0        | 900      | 1.0000 | 1     | +82.68   
Computing | 1      | 0        | 0        | 900      | 1.0000 | 1     | +82.68   
Sampling  | 1      | 0        | 0        | 1000     | 1.0000 | 1     | +82.57   
Computing | 1      | 0        | 0        | 1000     | 1.0000 | 1     | +82.57   
Sampling  | 1      | 0        | 0        | 1100     | 1.0000 | 1     | +82.48   
Computing | 1      | 0        | 0        | 1100     | 1.0000 | 1     | +82.48   
Sampling  | 1      | 0        | 0        | 1200     | 1.0000 | 1     | +82.39   
Computing | 1      | 0        | 0        | 1200     | 1.0000 | 1     | +82.39   
Sampling  | 1      | 0        | 0        | 1300     | 1.0000 | 1     | +82.31   
Computing | 1      | 0        | 0        | 1300     | 1.0000 | 1     | +82.31   
Sampling  | 1      | 0        | 0        | 1400     | 1.0000 | 1     | +82.24   
Computing | 1      | 0        | 0        | 1400     | 1.0000 | 1     | +82.24   
Sampling  | 1      | 0        | 0        | 1500     | 1.0000 | 1     | +82.17   
Computing | 1      | 0        | 0        | 1500     | 1.0000 | 1     | +82.17   
Sampling  | 1      | 0        | 0        | 1600     | 1.0000 | 1     | +82.10   
Computing | 1      | 0        | 0        | 1600     | 1.0000 | 1     | +82.10   
Sampling  | 1      | 0        | 0        | 1700     | 1.0000 | 1     | +122.22  
Computing | 1      | 0        | 0        | 1700     | 1.0000 | 1     | +122.22  
Sampling  | 1      | 0        | 0        | 1800     | 1.0000 | 1     | +122.16  
Computing | 1      | 0        | 0        | 1800     | 1.0000 | 1     | +122.16  
Sampling  | 1      | 0        | 0        | 1900     | 1.0000 | 1     | +122.11  
Computing | 1      | 0        | 0        | 1900     | 1.0000 | 1     | +122.11  
Bounding  | 1      | 0        | 0        | 2000     | 1.0000 | 1     | +122.06  
Sampling  | 2      | 0        | 4        | 2000     | 1.0000 | 16    | +3.84    
Computing | 2      | 0        | 4        | 2000     | 1.0000 | 16    | +3.84    
Sampling  | 2      | 0        | 4        | 2100     | 1.0000 | 1     | +137.30  
Computing | 2      | 0        | 4        | 2100     | 1.0000 | 1     | +137.30  
Sampling  | 2      | 0        | 4        | 2200     | 1.0000 | 1     | +137.22  
Computing | 2      | 0        | 4        | 2200     | 1.0000 | 1     | +137.22  
Sampling  | 2      | 0        | 4        | 2300     | 1.0000 | 1     | +137.14  
Computing | 2      | 0        | 4        | 2300     | 1.0000 | 1     | +137.14  
Sampling  | 2      | 0        | 4        | 2400     | 1.0000 | 1     | +137.06  
Computing | 2      | 0        | 4        | 2400     | 1.0000 | 1     | +137.06  
Sampling  | 2      | 0        | 4        | 2500     | 1.0000 | 1     | +136.99  
Computing | 2      | 0        | 4        | 2500     | 1.0000 | 1     | +136.99  
Sampling  | 2      | 0        | 4        | 2600     | 1.0000 | 1     | +136.93  
Computing | 2      | 0        | 4        | 2600     | 1.0000 | 1     | +136.93  
Sampling  | 2      | 0        | 4        | 2700     | 1.0000 | 1     | +136.87  
Computing | 2      | 0        | 4        | 2700     | 1.0000 | 1     | +136.87  
Sampling  | 2      | 0        | 4        | 2800     | 1.0000 | 1     | +146.08  
Computing | 2      | 0        | 4        | 2800     | 1.0000 | 1     | +146.08  
Sampling  | 2      | 0        | 4        | 2900     | 1.0000 | 1     | +146.03  
Computing | 2      | 0        | 4        | 2900     | 1.0000 | 1     | +146.03  
Sampling  | 2      | 0        | 4        | 3000     | 1.0000 | 1     | +145.98  
Computing | 2      | 0        | 4        | 3000     | 1.0000 | 1     | +145.98  
Bounding  | 2      | 0        | 4        | 3100     | 1.0000 | 1     | +145.93  
Sampling  | 3      | 0        | 4        | 3100     | 1.0000 | 5     | +16.95   
Computing | 3      | 0        | 4        | 3100     | 1.0000 | 5     | +16.95   
Sampling  | 3      | 0        | 4        | 3200     | 1.0000 | 1     | +145.86  
Computing | 3      | 0        | 4        | 3200     | 1.0000 | 1     | +145.86  
Sampling  | 3      | 0        | 4        | 3300     | 1.0000 | 1     | +145.78  
Computing | 3      | 0        | 4        | 3300     | 1.0000 | 1     | +145.78  
Sampling  | 3      | 0        | 4        | 3400     | 1.0000 | 1     | +152.55  
Computing | 3      | 0        | 4        | 3400     | 1.0000 | 1     | +152.55  
Sampling  | 3      | 0        | 4        | 3500     | 1.0000 | 1     | +152.48  
Computing | 3      | 0        | 4        | 3500     | 1.0000 | 1     | +152.48  
