[1/5] Simulating event (seed=1)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization; approximant=IMRPhenomXAS, prior_class=IntrinsicAlignedSpinIASPrior)...
Searching incoherent solution for GW1
Set intrinsic parameters, lnL = 21.844041792104274
Set time, lnL(L) = 14.406503253770035
Set sky location, lnL = 17.434110113046188
Set phase and distance, lnL = 17.434110113046188
Set mchirp_range = (np.float64(9.615868829851735), np.float64(97.08200823500712))
      reference-waveform fit SNR estimate: nan (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 1      | 0        | 0        | 0        | 1.0000 | 0     | N/A      
Computing | 1      | 0        | 0        | 0        | 1.0000 | 0     | N/A      
Sampling  | 1      | 0        | 0        | 100      | 1.0000 | 80    | -8.49    
Computing | 1      | 0        | 0        | 100      | 1.0000 | 80    | -8.49    
Sampling  | 1      | 0        | 0        | 200      | 1.0000 | 160   | -8.50    
Computing | 1      | 0        | 0        | 200      | 1.0000 | 160   | -8.50    
Sampling  | 1      | 0        | 0        | 300      | 1.0000 | 240   | -8.51    
Computing | 1      | 0        | 0        | 300      | 1.0000 | 240   | -8.51    
Sampling  | 1      | 0        | 0        | 400      | 1.0000 | 320   | -8.50    
Computing | 1      | 0        | 0        | 400      | 1.0000 | 320   | -8.50    
Sampling  | 1      | 0        | 0        | 500      | 1.0000 | 400   | -8.49    
Computing | 1      | 0        | 0        | 500      | 1.0000 | 400   | -8.49    
Sampling  | 1      | 0        | 0        | 600      | 1.0000 | 481   | -8.48    
Computing | 1      | 0        | 0        | 600      | 1.0000 | 481   | -8.48    
Sampling  | 1      | 0        | 0        | 700      | 1.0000 | 566   | -8.48    
Computing | 1      | 0        | 0        | 700      | 1.0000 | 566   | -8.48    
Sampling  | 1      | 0        | 0        | 800      | 1.0000 | 649   | -8.48    
Computing | 1      | 0        | 0        | 800      | 1.0000 | 649   | -8.48    
Sampling  | 1      | 0        | 0        | 900      | 1.0000 | 728   | -8.48    
Computing | 1      | 0        | 0        | 900      | 1.0000 | 728   | -8.48    
Sampling  | 1      | 0        | 0        | 1000     | 1.0000 | 808   | -8.49    
Computing | 1      | 0        | 0        | 1000     | 1.0000 | 808   | -8.49    
Sampling  | 1      | 0        | 0        | 1100     | 0.9744 | 890   | -8.49    
Computing | 1      | 0        | 0        | 1100     | 0.9744 | 890   | -8.49    
Sampling  | 1      | 0        | 0        | 1200     | 0.9399 | 972   | -8.49    
Computing | 1      | 0        | 0        | 1200     | 0.9399 | 972   | -8.49    
Sampling  | 1      | 0        | 0        | 1300     | 0.9035 | 1053  | -8.48    
Computing | 1      | 0        | 0        | 1300     | 0.9035 | 1053  | -8.48    
Sampling  | 1      | 0        | 0        | 1400     | 0.8693 | 1131  | -8.48    
Computing | 1      | 0        | 0        | 1400     | 0.8693 | 1131  | -8.48    
Sampling  | 1      | 0        | 0        | 1500     | 0.8371 | 1211  | -8.48    
Computing | 1      | 0        | 0        | 1500     | 0.8371 | 1211  | -8.48    
Sampling  | 1      | 0        | 0        | 1600     | 0.8075 | 1288  | -8.49    
Computing | 1      | 0        | 0        | 1600     | 0.8075 | 1288  | -8.49    
Sampling  | 1      | 0        | 0        | 1700     | 0.7783 | 1367  | -8.49    
Computing | 1      | 0        | 0        | 1700     | 0.7783 | 1367  | -8.49    
Sampling  | 1      | 0        | 0        | 1800     | 0.7510 | 1446  | -8.49    
Computing | 1      | 0        | 0        | 1800     | 0.7510 | 1446  | -8.49    
Sampling  | 1      | 0        | 0        | 1900     | 0.7254 | 1527  | -8.49    
Computing | 1      | 0        | 0        | 1900     | 0.7254 | 1527  | -8.49    
Bounding  | 1      | 0        | 0        | 2000     | 0.7008 | 1607  | -8.49    
Sampling  | 2      | 1        | 4        | 2000     | 0.9997 | 884   | -9.68    
Computing | 2      | 1        | 4        | 2000     | 0.9997 | 884   | -9.68    
Sampling  | 2      | 1        | 4        | 2100     | 0.6595 | 1730  | -8.48    
Computing | 2      | 1        | 4        | 2100     | 0.6595 | 1730  | -8.48    
Sampling  | 2      | 1        | 4        | 2200     | 0.6201 | 1855  | -8.48    
Computing | 2      | 1        | 4        | 2200     | 0.6201 | 1855  | -8.48    
Sampling  | 2      | 1        | 4        | 2300     | 0.5846 | 1975  | -8.48    
Computing | 2      | 1        | 4        | 2300     | 0.5846 | 1975  | -8.48    
Sampling  | 2      | 1        | 4        | 2400     | 0.5530 | 2093  | -8.48    
Computing | 2      | 1        | 4        | 2400     | 0.5530 | 2093  | -8.48    
Sampling  | 2      | 1        | 4        | 2500     | 0.5239 | 2212  | -8.48    
Computing | 2      | 1        | 4        | 2500     | 0.5239 | 2212  | -8.48    
Sampling  | 2      | 1        | 4        | 2600     | 0.4984 | 2325  | -8.48    
Computing | 2      | 1        | 4        | 2600     | 0.4984 | 2325  | -8.48    
Sampling  | 2      | 1        | 4        | 2700     | 0.4761 | 2433  | -8.48    
Computing | 2      | 1        | 4        | 2700     | 0.4761 | 2433  | -8.48    
Sampling  | 2      | 1        | 4        | 2800     | 0.4556 | 2540  | -8.48    
Computing | 2      | 1        | 4        | 2800     | 0.4556 | 2540  | -8.48    
Sampling  | 2      | 1        | 4        | 2900     | 0.4370 | 2642  | -8.48    
Computing | 2      | 1        | 4        | 2900     | 0.4370 | 2642  | -8.48    
Sampling  | 2      | 1        | 4        | 3000     | 0.4197 | 2743  | -8.48    
Computing | 2      | 1        | 4        | 3000     | 0.4197 | 2743  | -8.48    
Bounding  | 2      | 1        | 4        | 3100     | 0.4035 | 2841  | -8.48    
Sampling  | 3      | 1        | 4        | 3100     | 0.5033 | 1887  | -9.02    
Computing | 3      | 1        | 4        | 3100     | 0.5033 | 1887  | -9.02    
Sampling  | 3      | 1        | 4        | 3200     | 0.3862 | 2953  | -8.46    
Computing | 3      | 1        | 4        | 3200     | 0.3862 | 2953  | -8.46    
Sampling  | 3      | 1        | 4        | 3300     | 0.3628 | 3072  | -8.46    
Computing | 3      | 1        | 4        | 3300     | 0.3628 | 3072  | -8.46    
Sampling  | 3      | 1        | 4        | 3400     | 0.3427 | 3179  | -8.46    
Computing | 3      | 1        | 4        | 3400     | 0.3427 | 3179  | -8.46    
